Predicted Breed,ConditionA,ConditionB
whippet,Mitral valve (heart) disease,Anesthesia sensitivity
beagle,Cherry Eye,Epilepsy
bouvier_des_flandres,Hip dysplasia,Elbow dysplasia
sussex_spaniel,Hip dysplasia,Ear infections
sussex_spaniel,Hip dysplasia,Ear infections
komondor,Hip and elbow dysplasia,Bloat
leonberg,Osteosarcoma,Panosteitis
chihuahua,Dental Disease,Patellar luxation
cardigan,Hip and elbow dysplasia,Progressive Retinal Atrophy
pomeranian,Tracheal collapse,Patellar luxation
weimaraner,Hip dysplasia,Bloat
great_pyrenees,Neurological Disorders,Hip Dysplasia
komondor,Hip and elbow dysplasia,Bloat
cocker_spaniel,Ear infections,Eye diseases
shih-tzu,Brachycephalic Syndrome,Eye Problems
great_dane,Gastric dilatation-volvulus,Dilated cardiomyopathy
dingo,Bloating,Hip Dysplasia
bloodhound,Hip/elbow dysplasia,Heart problems
staffordshire_bullterrier,Luxating Patella,Hip Dysplasia
scottish_deerhound,Dilated cardiomyopathy,Cystinuria
australian_terrier,Legg-Calve-Perthes disease,Skin sensitivities and allergies
japanese_spaniel,Brachycephalic airway syndrome,Patellar luxation
norfolk_terrier,Allergies,Cataracts
irish_wolfhound,Dilated Cardiomyopathy,Fibrocartilaginous Embolic Myelopathy
australian_terrier,Legg-Calve-Perthes disease,Skin sensitivities and allergies
scottish_deerhound,Dilated cardiomyopathy,Cystinuria
cairn,Genetic kidney problems,Luxating patella
kuvasz,Progressive retinal atrophy,Bloat
otterhound,Epilepsy,Bloating
shih-tzu,Brachycephalic Syndrome,Eye Problems
shih-tzu,Brachycephalic Syndrome,Eye Problems
chihuahua,Dental Disease,Patellar luxation
cocker_spaniel,Ear infections,Eye diseases
irish_water_spaniel,Lymphoma,Obesity
gordon_setter,Bloat,Hypothyroidism
scottish_deerhound,Dilated cardiomyopathy,Cystinuria
dingo,Bloating,Hip Dysplasia
brabancon_griffon,Luxating Patella,Respiratory Issues
bouvier_des_flandres,Hip dysplasia,Elbow dysplasia
norfolk_terrier,Allergies,Cataracts
bluetick,Bloating,Progressive retinal atrophy
australian_terrier,Legg-Calve-Perthes disease,Skin sensitivities and allergies
bouvier_des_flandres,Hip dysplasia,Elbow dysplasia
english_setter,Bloat,Deafness
boston_bull,Hip Dysplasia,Digestive Issues
afghan_hound,Hip and Elbow Dysplasia,Eye Problems
bloodhound,Hip/elbow dysplasia,Heart problems
african_hunting_dog,Fanconi syndrome,progressive retinal atrophy
pug,Brachycephalic Airway Syndrome,Skin fold infections
gordon_setter,Bloat,Hypothyroidism
kerry_blue_terrier,dermatitis,Hip dysplasia
african_hunting_dog,Fanconi syndrome,progressive retinal atrophy
irish_water_spaniel,Lymphoma,Obesity
irish_water_spaniel,Lymphoma,Obesity
cairn,Genetic kidney problems,Luxating patella
bouvier_des_flandres,Hip dysplasia,Elbow dysplasia
curly-coated_retriever,Hip dysplasia,Eye diseases
norfolk_terrier,Allergies,Cataracts
dhole,Rabies,Parovirus
great_pyrenees,Neurological Disorders,Hip Dysplasia
great_pyrenees,Neurological Disorders,Hip Dysplasia
leonberg,Osteosarcoma,Panosteitis
lakeland_terrier,Legg-Calves-Perthes disease,Bleeding Disorders
norfolk_terrier,Allergies,Cataracts
silky_terrier,Patellar luxation,Tracheal collapse
walker_hound,Degenerative Myelopathy,Ectropion
miniature_schnauzer,Hyperlipidemia,Urinary Stones
gordon_setter,Bloat,Hypothyroidism
gordon_setter,Bloat,Hypothyroidism
australian_terrier,Legg-Calve-Perthes disease,Skin sensitivities and allergies
cocker_spaniel,Ear infections,Eye diseases
scottish_deerhound,Dilated cardiomyopathy,Cystinuria
dhole,Rabies,Parovirus
sussex_spaniel,Hip dysplasia,Ear infections
whippet,Mitral valve (heart) disease,Anesthesia sensitivity
norfolk_terrier,Allergies,Cataracts
great_dane,Gastric dilatation-volvulus,Dilated cardiomyopathy
kerry_blue_terrier,dermatitis,Hip dysplasia
whippet,Mitral valve (heart) disease,Anesthesia sensitivity
vizsla,Hip dysplasia,Epilepsy
malamute,Hip and Elbow Dysplasia,Hypothyroidism
dingo,Bloating,Hip Dysplasia
chihuahua,Dental Disease,Patellar luxation
blenheim_spaniel,Mitral valve disease,Syringomyelia
pekinese,Brachycephalic syndrome,Dry eye syndrome
silky_terrier,Patellar luxation,Tracheal collapse
whippet,Mitral valve (heart) disease,Anesthesia sensitivity
dhole,Rabies,Parovirus
brabancon_griffon,Luxating Patella,Respiratory Issues
japanese_spaniel,Brachycephalic airway syndrome,Patellar luxation
dingo,Bloating,Hip Dysplasia
weimaraner,Hip dysplasia,Bloat
beagle,Cherry Eye,Epilepsy
kerry_blue_terrier,dermatitis,Hip dysplasia
dhole,Rabies,Parovirus
rhodesian_ridgeback,Dermoid sinus,Hip dysplasia
irish_water_spaniel,Lymphoma,Obesity
bouvier_des_flandres,Hip dysplasia,Elbow dysplasia
vizsla,Hip dysplasia,Epilepsy
great_pyrenees,Neurological Disorders,Hip Dysplasia
chihuahua,Dental Disease,Patellar luxation
norfolk_terrier,Allergies,Cataracts
greater_swiss_mountain_dog,Splenic torsion,Bloat
gordon_setter,Bloat,Hypothyroidism
scotch_terrier,Cancer,Von Willebrand's Disease
scottish_deerhound,Dilated cardiomyopathy,Cystinuria
norfolk_terrier,Allergies,Cataracts
gordon_setter,Bloat,Hypothyroidism
dingo,Bloating,Hip Dysplasia
cocker_spaniel,Ear infections,Eye diseases
leonberg,Osteosarcoma,Panosteitis
norfolk_terrier,Allergies,Cataracts
bloodhound,Hip/elbow dysplasia,Heart problems
shih-tzu,Brachycephalic Syndrome,Eye Problems
miniature_schnauzer,Hyperlipidemia,Urinary Stones
great_dane,Gastric dilatation-volvulus,Dilated cardiomyopathy
bluetick,Bloating,Progressive retinal atrophy
australian_terrier,Legg-Calve-Perthes disease,Skin sensitivities and allergies
eskimo_dog,Hip Dysplasia,Progressive Retinal Atrophy
airedale,Hip and elbow dysplasia,Von Willebrand's disease
scottish_deerhound,Dilated cardiomyopathy,Cystinuria
lhasa,progressive retinal atrophy,Cheery eye
african_hunting_dog,Fanconi syndrome,progressive retinal atrophy
rhodesian_ridgeback,Dermoid sinus,Hip dysplasia
gordon_setter,Bloat,Hypothyroidism
kerry_blue_terrier,dermatitis,Hip dysplasia
weimaraner,Hip dysplasia,Bloat
australian_terrier,Legg-Calve-Perthes disease,Skin sensitivities and allergies
whippet,Mitral valve (heart) disease,Anesthesia sensitivity
blenheim_spaniel,Mitral valve disease,Syringomyelia
scottish_deerhound,Dilated cardiomyopathy,Cystinuria
dingo,Bloating,Hip Dysplasia
whippet,Mitral valve (heart) disease,Anesthesia sensitivity
leonberg,Osteosarcoma,Panosteitis
scottish_deerhound,Dilated cardiomyopathy,Cystinuria
vizsla,Hip dysplasia,Epilepsy
cairn,Genetic kidney problems,Luxating patella
beagle,Cherry Eye,Epilepsy
irish_water_spaniel,Lymphoma,Obesity
komondor,Hip and elbow dysplasia,Bloat
airedale,Hip and elbow dysplasia,Von Willebrand's disease
beagle,Cherry Eye,Epilepsy
australian_terrier,Legg-Calve-Perthes disease,Skin sensitivities and allergies
dhole,Rabies,Parovirus
irish_setter,Hip and elbow dysplasia,Bloat
otterhound,Epilepsy,Bloating
cardigan,Hip and elbow dysplasia,Progressive Retinal Atrophy
brabancon_griffon,Luxating Patella,Respiratory Issues
gordon_setter,Bloat,Hypothyroidism
weimaraner,Hip dysplasia,Bloat
komondor,Hip and elbow dysplasia,Bloat
great_pyrenees,Neurological Disorders,Hip Dysplasia
chihuahua,Dental Disease,Patellar luxation
norwegian_elkhound,Progressive retinal atrophy,Kidney problems
bloodhound,Hip/elbow dysplasia,Heart problems
bouvier_des_flandres,Hip dysplasia,Elbow dysplasia
bouvier_des_flandres,Hip dysplasia,Elbow dysplasia
miniature_schnauzer,Hyperlipidemia,Urinary Stones
beagle,Cherry Eye,Epilepsy
irish_setter,Hip and elbow dysplasia,Bloat
airedale,Hip and elbow dysplasia,Von Willebrand's disease
whippet,Mitral valve (heart) disease,Anesthesia sensitivity
bernese_mountain_dog,Cancer,Hip and elbow dysplasia
curly-coated_retriever,Hip dysplasia,Eye diseases
rhodesian_ridgeback,Dermoid sinus,Hip dysplasia
silky_terrier,Patellar luxation,Tracheal collapse
scottish_deerhound,Dilated cardiomyopathy,Cystinuria
scottish_deerhound,Dilated cardiomyopathy,Cystinuria
norfolk_terrier,Allergies,Cataracts
scotch_terrier,Cancer,Von Willebrand's Disease
norfolk_terrier,Allergies,Cataracts
kerry_blue_terrier,dermatitis,Hip dysplasia
whippet,Mitral valve (heart) disease,Anesthesia sensitivity
beagle,Cherry Eye,Epilepsy
scottish_deerhound,Dilated cardiomyopathy,Cystinuria
cocker_spaniel,Ear infections,Eye diseases
great_dane,Gastric dilatation-volvulus,Dilated cardiomyopathy
pomeranian,Tracheal collapse,Patellar luxation
dingo,Bloating,Hip Dysplasia
appenzeller,Hip and elbow dysplasia,Gastric torsion
chow,Hip Dysplasia,Brachycephalic Airway Syndrome
afghan_hound,Hip and Elbow Dysplasia,Eye Problems
beagle,Cherry Eye,Epilepsy
african_hunting_dog,Fanconi syndrome,progressive retinal atrophy
scottish_deerhound,Dilated cardiomyopathy,Cystinuria
cocker_spaniel,Ear infections,Eye diseases
leonberg,Osteosarcoma,Panosteitis
dingo,Bloating,Hip Dysplasia
borzoi,Osteochondritis dissecans,Bloating
whippet,Mitral valve (heart) disease,Anesthesia sensitivity
african_hunting_dog,Fanconi syndrome,progressive retinal atrophy
irish_setter,Hip and elbow dysplasia,Bloat
black-and-tan_coonhound,Hip and elbow dysplasia,Ear infections
lakeland_terrier,Legg-Calves-Perthes disease,Bleeding Disorders
dingo,Bloating,Hip Dysplasia
great_dane,Gastric dilatation-volvulus,Dilated cardiomyopathy
pomeranian,Tracheal collapse,Patellar luxation
shih-tzu,Brachycephalic Syndrome,Eye Problems
gordon_setter,Bloat,Hypothyroidism
keeshond,Hip dysplasia,Patellar luxation
irish_setter,Hip and elbow dysplasia,Bloat
whippet,Mitral valve (heart) disease,Anesthesia sensitivity
bloodhound,Hip/elbow dysplasia,Heart problems
whippet,Mitral valve (heart) disease,Anesthesia sensitivity
black-and-tan_coonhound,Hip and elbow dysplasia,Ear infections
brabancon_griffon,Luxating Patella,Respiratory Issues
redbone,Cancer,Heartworm
scottish_deerhound,Dilated cardiomyopathy,Cystinuria
bloodhound,Hip/elbow dysplasia,Heart problems
lakeland_terrier,Legg-Calves-Perthes disease,Bleeding Disorders
welsh_springer_spaniel,Hip and elbow dysplasia,Ear infections
dingo,Bloating,Hip Dysplasia
